timestamp,camera,cls_name,confidence,zones,source
2025-11-27T11:28:46.644347,TeraWatchCam,zebra,0.48,,yolo
2025-11-27T11:28:46.644347,TeraWatchCam,zebra,0.36,,yolo
2025-11-27T11:28:46.644347,TeraWatchCam,zebra,0.31,,yolo
2025-11-27T11:28:46.644347,TeraWatchCam,zebra,0.30,,yolo
2025-11-27T11:28:46.644347,TeraWatchCam,zebra,0.26,,yolo
2025-11-27T11:28:46.644347,TeraWatchCam,cow,0.25,,yolo
2025-11-27T11:28:46.644347,TeraWatchCam,zebra,0.25,,yolo
2025-11-27T11:28:46.856541,TeraWatchCam,zebra,0.93,,yolo
2025-11-27T11:28:46.856541,TeraWatchCam,zebra,0.84,,yolo
2025-11-27T11:28:46.856541,TeraWatchCam,zebra,0.69,,yolo
2025-11-27T11:28:46.856541,TeraWatchCam,zebra,0.53,,yolo
2025-11-27T11:28:46.856541,TeraWatchCam,zebra,0.37,,yolo
2025-11-27T11:28:46.856541,TeraWatchCam,zebra,0.35,,yolo
2025-11-27T11:28:46.856541,TeraWatchCam,cow,0.27,,yolo
2025-11-27T11:28:46.856541,TeraWatchCam,zebra,0.25,,yolo
2025-11-27T11:28:46.856541,TeraWatchCam,zebra,0.25,,yolo
2025-11-27T11:28:47.059997,TeraWatchCam,zebra,0.91,,yolo
2025-11-27T11:28:47.059997,TeraWatchCam,zebra,0.84,,yolo
2025-11-27T11:28:47.059997,TeraWatchCam,zebra,0.67,,yolo
2025-11-27T11:28:47.059997,TeraWatchCam,cow,0.34,,yolo
2025-11-27T11:28:47.059997,TeraWatchCam,zebra,0.32,,yolo
2025-11-27T11:28:47.059997,TeraWatchCam,zebra,0.32,,yolo
2025-11-27T11:28:47.059997,TeraWatchCam,zebra,0.32,,yolo
2025-11-27T11:28:47.059997,TeraWatchCam,zebra,0.31,,yolo
2025-11-27T11:28:47.263694,TeraWatchCam,zebra,0.92,,yolo
2025-11-27T11:28:47.263694,TeraWatchCam,zebra,0.82,,yolo
2025-11-27T11:28:47.263694,TeraWatchCam,zebra,0.65,,yolo
2025-11-27T11:28:47.263694,TeraWatchCam,zebra,0.51,,yolo
2025-11-27T11:28:47.263694,TeraWatchCam,zebra,0.37,,yolo
2025-11-27T11:28:47.263694,TeraWatchCam,zebra,0.31,,yolo
2025-11-27T11:28:47.263694,TeraWatchCam,zebra,0.31,,yolo
2025-11-27T11:28:47.263694,TeraWatchCam,zebra,0.30,,yolo
2025-11-27T11:28:47.263694,TeraWatchCam,zebra,0.30,,yolo
2025-11-27T11:28:47.263694,TeraWatchCam,zebra,0.30,,yolo
2025-11-27T11:28:47.263694,TeraWatchCam,zebra,0.30,,yolo
2025-11-27T11:28:47.263694,TeraWatchCam,cow,0.29,,yolo
2025-11-27T11:28:47.472627,TeraWatchCam,zebra,0.91,,yolo
2025-11-27T11:28:47.472627,TeraWatchCam,zebra,0.83,,yolo
2025-11-27T11:28:47.472627,TeraWatchCam,zebra,0.60,,yolo
2025-11-27T11:28:47.472627,TeraWatchCam,zebra,0.46,,yolo
2025-11-27T11:28:47.472627,TeraWatchCam,zebra,0.33,,yolo
2025-11-27T11:28:47.472627,TeraWatchCam,zebra,0.32,,yolo
2025-11-27T11:28:47.472627,TeraWatchCam,cow,0.29,,yolo
2025-11-27T11:28:47.681636,TeraWatchCam,zebra,0.90,,yolo
2025-11-27T11:28:47.681636,TeraWatchCam,zebra,0.83,,yolo
2025-11-27T11:28:47.681636,TeraWatchCam,zebra,0.70,,yolo
2025-11-27T11:28:47.681636,TeraWatchCam,zebra,0.55,,yolo
2025-11-27T11:28:47.681636,TeraWatchCam,zebra,0.51,,yolo
2025-11-27T11:28:47.681636,TeraWatchCam,zebra,0.40,,yolo
